"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.67431205393438e-177,2.72150903765532,0.182,0.073,3.50450256009005e-173,"1","Tsix"
0,1.89994360984524,0.425,0.205,0,"1","Xist"
4.08698700971458e-42,1.84614844866328,0.125,0.084,8.55447251003359e-38,"1","AC160336.1"
1.33654070348334e-282,1.73454850676175,0.429,0.322,2.79751334646098e-278,"1","Gm19667"
8.45614665261246e-58,1.7274002905318,0.236,0.196,1.76995605585831e-53,"1","Dlg2"
1.16022578141195e-15,1.62176341241794,0.138,0.117,2.42846858307336e-11,"1","AC149090.1"
1.14094421945252e-18,1.6047788855035,0.121,0.097,2.38811034573607e-14,"1","Gm14508"
0,1.59055153348053,1,0.847,0,"1","Malat1"
4.60841288003577e-16,1.56308726954909,0.165,0.151,9.64586899920287e-12,"1","Paxbp1"
5.36806308097923e-11,1.42909677147465,0.15,0.138,1.12358928347976e-06,"1","Gm9856"
3.63674731436985e-07,1.38371969938741,0.193,0.2,0.00761207580370754,"1","Ncapd3"
2.48519574510225e-14,1.32437312051615,0.233,0.239,5.20176321407351e-10,"1","Rnpc3"
1.70581333753815e-197,1.29158063240388,0.471,0.435,3.57043789680111e-193,"1","Zcchc7"
9.80980591007618e-07,1.28461123970713,0.133,0.126,0.0205329047503804,"1","Gm45159"
0,1.28154310007072,0.917,0.678,0,"1","Mir124a-1hg"
0,1.22362048648337,0.792,0.745,0,"1","Dmd"
7.00225101259177e-07,1.19157560444053,0.097,0.124,0.0146564115944558,"1","Cdan1"
3.29123580709704e-103,1.17020244344035,0.422,0.415,6.88888566783481e-99,"1","Cspp1"
8.02523861495836e-11,1.15683959720329,0.314,0.332,1.67976269449693e-06,"1","Gm47283"
4.28804872227823e-92,1.15641124503073,0.399,0.383,8.97531478060057e-88,"1","Ttc14"
2.82523957632134e-47,1.13154070625706,0.336,0.335,5.91350895719819e-43,"1","4632427E13Rik"
4.74600147320078e-31,1.12249674387242,0.288,0.27,9.93385568355656e-27,"1","Kcnq1ot1"
1.94542408136864e-46,1.11904417235108,0.373,0.399,4.07196714471271e-42,"1","Ddhd1"
5.2038738356476e-07,1.11791434911086,0.111,0.142,0.010892228325394,"1","Chuk"
9.91902887828508e-14,1.11646291941496,0.284,0.309,2.07615193451385e-09,"1","Zfp329"
1.61008271526258e-06,1.10914252032682,0.126,0.161,0.0337006413131611,"1","Pibf1"
5.93173280799628e-13,1.08436355991737,0.073,0.101,1.2415709940417e-08,"1","Ccser1"
9.5789055376104e-07,1.0834024000591,0.117,0.15,0.0200496071807723,"1","Dleu2"
3.585353393753e-12,1.07203706527758,0.078,0.108,7.5045031884644e-08,"1","Rb1"
8.50456000263476e-165,1.06843940879069,0.511,0.498,1.78008945415148e-160,"1","Tmem108"
3.65993141945952e-13,1.06789461550794,0.089,0.123,7.66060245407073e-09,"1","Bbof1"
2.41329389220087e-271,1.04539325141973,0.595,0.565,5.05126544576564e-267,"1","Snrnp70"
3.42953522929932e-12,1.04265495238543,0.154,0.21,7.17836018844642e-08,"1","Brd9"
3.78965032858992e-12,1.02162436028763,0.27,0.288,7.93211710277156e-08,"1","Crebzf"
5.64396213838106e-11,1.01776886268982,0.075,0.1,1.18133771518454e-06,"1","Odf2"
8.96934020874271e-17,1.01759510483442,0.361,0.42,1.87737259909194e-12,"1","A430035B10Rik"
6.74194763586237e-17,1.01599038788202,0.075,0.108,1.41115705966235e-12,"1","Dnah7b"
5.48149954190526e-10,1.01537120286382,0.134,0.177,1.14733266911619e-05,"1","Thoc1"
8.62905748585317e-14,1.00737812390538,0.13,0.179,1.80614802236393e-09,"1","Ascc3"
2.67205502465687e-16,0.993950702044503,0.082,0.113,5.59287837210929e-12,"1","Abcc5"
0,0.986903383922413,0.947,0.833,0,"1","Rpgrip1"
4.88452312932537e-17,0.984227259655116,0.094,0.133,1.02237953619909e-12,"1","Cd2ap"
4.11062954419836e-18,0.982053678997917,0.087,0.125,8.60395869896158e-14,"1","Fam193b"
5.56208450853732e-17,0.980384793400453,0.096,0.136,1.16419990848195e-12,"1","Ppwd1"
1.26966539547107e-37,0.977905937145878,0.385,0.42,2.65753663926051e-33,"1","Clk1"
1.65823785358208e-23,0.976565172152848,0.086,0.118,3.47085765133264e-19,"1","Rnf121"
1.59394389732002e-15,0.97562931961582,0.094,0.132,3.33628397148053e-11,"1","Dnajc1"
2.99758376545106e-15,0.97373565868022,0.087,0.122,6.27424257946562e-11,"1","Snapc3"
4.29087870724603e-15,0.971175408197583,0.13,0.178,8.98123822213667e-11,"1","Map3k12"
3.73684897981201e-16,0.968886679793555,0.082,0.117,7.82159859964453e-12,"1","Rrnad1"
2.01087894424692e-08,0.968105544969374,0.146,0.191,0.000420897071820322,"1","Gm20139"
1.17001635258382e-41,0.964218128303791,0.432,0.494,2.44896122759319e-37,"1","Prpf4b"
2.74274603061525e-10,0.963129673310185,0.207,0.28,5.74084171668077e-06,"1","Prkca"
