"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.23548460197095e-32,1.74304895070774,0.21,0.169,2.5859928203854e-28,"1","Gm10544"
4.91683635005311e-11,1.74230916332545,0.14,0.121,1.02914301642962e-06,"1","A330023F24Rik"
2.33925831631746e-221,1.73944422834135,0.438,0.33,4.89630158188409e-217,"1","Cspp1"
1.53972274991607e-40,1.70852132965434,0.246,0.211,3.22279368784932e-36,"1","Ttc19"
0,1.70660587062346,0.532,0.383,0,"1","Tmem108"
1.17066329217984e-68,1.69294663882472,0.298,0.249,2.45031533686162e-64,"1","Zfp329"
6.7796021825421e-41,1.63952476885622,0.235,0.195,1.41903853282789e-36,"1","BC005561"
1.94734124574264e-89,1.62227018293143,0.297,0.213,4.07597996146393e-85,"1","Kcnq1ot1"
1.79219230133592e-41,1.56177952172492,0.27,0.237,3.75123770592621e-37,"1","Leng8"
3.79490321760727e-07,1.55815441614375,0.133,0.123,0.00794311192477378,"1","Slc25a27"
0,1.55732583592699,0.614,0.456,0,"1","Snrnp70"
0,1.55630816003674,0.948,0.732,0,"1","Rpgrip1"
5.53449295528677e-27,1.53149521419872,0.243,0.222,1.15842472047107e-22,"1","Ogt"
0,1.52122451980581,0.752,0.624,0,"1","Rsrp1"
3.35669284936931e-20,1.51966269157701,0.226,0.211,7.0258938030149e-16,"1","3222401L13Rik"
8.70095454684515e-35,1.51865980435544,0.322,0.292,1.82119679620016e-30,"1","Gm47283"
8.13317874718839e-47,1.50000069928712,0.316,0.296,1.702355643574e-42,"1","Dusp11"
8.55125293611651e-30,1.49203807958967,0.254,0.233,1.78986275205855e-25,"1","Rnf207"
3.70757290361766e-132,1.483145656446,0.407,0.341,7.76032084456212e-128,"1","Clk1"
3.94702280949136e-97,1.47090934974196,0.386,0.346,8.26151344254637e-93,"1","Ddhd1"
7.19153146849406e-52,1.46248280442718,0.316,0.289,1.50525945167049e-47,"1","R3hdm1"
4.02910905558441e-09,1.46165659426056,0.237,0.245,8.43332816424373e-05,"1","Dalrd3"
0,1.45649537006706,0.795,0.682,0,"1","Dmd"
1.27981495553861e-295,1.44880345242656,0.541,0.432,2.67878068343785e-291,"1","Nktr"
