"method","target_k","sizes","jacc_per_cluster","jacc_min","mean_ari","sd_ari","n_iter"
"scDHA_LL",2,"34052 / 3834","0.9799 / 0.8188",0.8188,0.8706,0,50
"scDHA_LL",3,"30417 / 6887 / 582","0.9905 / 0.9652 / 0.9095",0.9095,0.9667,0,50
