"k","actual_k","mean_cross_seed_ari","min_cross_seed_ari","silhouette","rogue","balance"
2,2,0.686,NA,0.514,0.838,0.644
3,3,0.691,NA,0.333,0.888,0.600
4,4,0.718,NA,0.268,0.897,0.514
5,5,0.553,NA,0.268,0.897,0.514
6,6,0.572,NA,0.141,0.910,0.512
7,7,0.569,NA,0.141,0.910,0.512
8,8,0.552,NA,0.114,0.915,0.567
