"method","target_k","actual_k","balance","jacc_min","marker_spec","rogue","ari","nmi","sizes_str"
"scDHA_LL",7,6,0.3983,0.9898,0.6417,0.6934,0.9016,0.774,"38110/6952/5204/2793/2727/493"
"scDHA_LL",8,8,0.4292,0.6563,0.5687,0.6961,0.7262,0.6566,"33288/5998/4893/4030/2793/2727/2057/493"
"scDHA_LL",9,8,0.4292,0.6563,0.5687,0.6961,0.7262,0.6566,"33288/5998/4893/4030/2793/2727/2057/493"
"scDHA_LL",10,10,0.4291,0.3341,0.5505,0.695,0.671,0.6042,"31719/5584/3670/3264/2795/2745/2727/2059/1223/493"
"scDHA_LL",11,11,0.4138,0.3341,0.5479,0.6935,0.6678,0.5884,"31794/5541/3230/2796/2745/2727/2392/2060/1278/1223/493"
"scDHA_LL",12,11,0.4138,0.4964,0.5479,0.6935,0.6678,0.5884,"31794/5541/3230/2796/2745/2727/2392/2060/1278/1223/493"
"PCA_Leiden",2,6,0.4071,0.2615,0.6329,0.6929,0.919,0.8461,"7622/37202/5243/2828/2869/515"
"PCA_Leiden",3,6,0.4071,0.2615,0.6329,0.6929,0.919,0.8461,"7622/37202/5243/2828/2869/515"
"PCA_Leiden",4,6,0.4071,0.2615,0.6329,0.6929,0.919,0.8461,"7622/37202/5243/2828/2869/515"
"PCA_Leiden",5,6,0.4071,0.2615,0.6329,0.6929,0.919,0.8461,"7622/37202/5243/2828/2869/515"
"PCA_Leiden",6,6,0.4071,0.2602,0.6329,0.6929,0.919,0.8461,"7622/37202/5243/2828/2869/515"
"PCA_Leiden",7,7,0.4853,0.21,0.555,0.7272,0.627,0.6544,"7622/29433/7765/5243/2828/2873/515"
"PCA_Leiden",8,8,0.4343,0,0.531,0.6975,0.612,0.6362,"7622/29022/7824/5243/2828/866/2873/1"
"PCA_Leiden",9,9,0.4302,0.3581,0.5319,0.6938,0.6302,0.6571,"4957/29080/7766/2665/5243/2828/866/2873/1"
"PCA_Leiden",10,10,0.3871,0,0.532,0.6938,0.6309,0.6573,"4957/29106/2665/5243/7739/2828/866/2873/1/1"
"PCA_Leiden",11,11,0.3664,0,0.5535,0.6723,0.6297,0.6476,"4957/29079/7766/2666/4408/2828/866/2873/834/1/1"
"PCA_Leiden",12,12,0.336,0,0.5536,0.6722,0.6298,0.6478,"4957/29076/7766/2667/4407/2830/866/2873/834/1/1/1"
"scDHA_Leiden",2,5,0.3613,0.6215,0.6124,0.6889,0.7021,0.5877,"6950/43316/2727/2793/493"
"scDHA_Leiden",3,5,0.3613,0.6215,0.6124,0.6889,0.7021,0.5877,"6950/43316/2727/2793/493"
"scDHA_Leiden",4,5,0.3613,0.2815,0.6124,0.6889,0.7021,0.5877,"6950/43316/2727/2793/493"
"scDHA_Leiden",5,5,0.3613,0.7004,0.6124,0.6889,0.7021,0.5877,"6950/43316/2727/2793/493"
"scDHA_Leiden",6,6,0.3689,0.2977,0.6925,0.698,0.831,0.7069,"6951/40570/2745/2727/2793/493"
"scDHA_Leiden",7,7,0.3493,0,0.6259,0.6917,0.8749,0.7619,"6955/37338/5971/2727/2794/493/1"
"scDHA_Leiden",8,8,0.3864,0,0.5603,0.7052,0.7136,0.6399,"6954/33270/5999/2727/4040/2795/493/1"
"scDHA_Leiden",9,8,0.3864,0,0.5603,0.7052,0.7136,0.6399,"6954/33270/5999/2727/4040/2795/493/1"
"scDHA_Leiden",10,11,0.281,0,0.56,0.7052,0.7139,0.6403,"6957/33287/5974/2727/4040/2797/493/1/1/1/1"
"scDHA_Leiden",11,11,0.281,0,0.56,0.7052,0.7139,0.6403,"6957/33287/5974/2727/4040/2797/493/1/1/1/1"
"scDHA_Leiden",12,12,0.2981,0,0.5656,0.7093,0.6731,0.6332,"4895/31741/2062/5977/2727/5583/2797/493/1/1/1/1"
