"resolution","actual_k","method"
0.000228598305611237,1,"PCA + Louvain"
0.00023468956965906,1,"PCA + Louvain"
0.000240943142423919,1,"PCA + Louvain"
0.000247363348807742,1,"PCA + Louvain"
0.00025395462895443,1,"PCA + Louvain"
0.000260721541320609,1,"PCA + Louvain"
0.000267668765828214,1,"PCA + Louvain"
0.000274801107101064,1,"PCA + Louvain"
0.000282123497787693,1,"PCA + Louvain"
0.00028964100197271,1,"PCA + Louvain"
0.000297358818679069,1,"PCA + Louvain"
0.000305282285463654,1,"PCA + Louvain"
0.000313416882108673,1,"PCA + Louvain"
0.000321768234411416,1,"PCA + Louvain"
0.000330342118074993,1,"PCA + Louvain"
0.000339144462702753,1,"PCA + Louvain"
0.000348181355899122,1,"PCA + Louvain"
0.00035745904747973,1,"PCA + Louvain"
0.000366983953793713,1,"PCA + Louvain"
0.000376762662161191,1,"PCA + Louvain"
0.000386801935428979,1,"PCA + Louvain"
0.000397108716647708,1,"PCA + Louvain"
0.000407690133873551,1,"PCA + Louvain"
0.000418553505097918,1,"PCA + Louvain"
0.000429706343308492,1,"PCA + Louvain"
0.000441156361685128,1,"PCA + Louvain"
0.000452911478934208,1,"PCA + Louvain"
0.000464979824765127,1,"PCA + Louvain"
0.00047736974551271,1,"PCA + Louvain"
0.000490089809909448,1,"PCA + Louvain"
0.000503148815011537,1,"PCA + Louvain"
0.000516555792282824,1,"PCA + Louvain"
0.000530320013840871,1,"PCA + Louvain"
0.000544450998869446,1,"PCA + Louvain"
0.000558958520201887,1,"PCA + Louvain"
0.000573852611079886,1,"PCA + Louvain"
0.000589143572092366,1,"PCA + Louvain"
0.000604841978299258,1,"PCA + Louvain"
0.000620958686545093,1,"PCA + Louvain"
0.000637504842967478,1,"PCA + Louvain"
0.00065449189070564,2,"PCA + Louvain"
0.000671931577814376,2,"PCA + Louvain"
0.000689835965388877,2,"PCA + Louvain"
0.000708217435906051,2,"PCA + Louvain"
0.000727088701788102,2,"PCA + Louvain"
0.000746462814194308,2,"PCA + Louvain"
0.000766353172047054,2,"PCA + Louvain"
0.000786773531298378,2,"PCA + Louvain"
0.000807738014443442,2,"PCA + Louvain"
0.000829261120287484,2,"PCA + Louvain"
0.000851357733973043,2,"PCA + Louvain"
0.00087404313727435,3,"PCA + Louvain"
0.000897333019166039,3,"PCA + Louvain"
0.000921243486673468,3,"PCA + Louvain"
0.00094579107601216,3,"PCA + Louvain"
0.000970992764024067,3,"PCA + Louvain"
0.000996865979918567,3,"PCA + Louvain"
0.00102342861732631,3,"PCA + Louvain"
0.00105069904667427,3,"PCA + Louvain"
0.00107869612789049,3,"PCA + Louvain"
0.00110743922344746,3,"PCA + Louvain"
0.00113694821175294,3,"PCA + Louvain"
0.00116724350089767,3,"PCA + Louvain"
0.00119834604276937,3,"PCA + Louvain"
0.00123027734754285,3,"PCA + Louvain"
0.00126305949855618,3,"PCA + Louvain"
0.00129671516758332,3,"PCA + Louvain"
0.00133126763051365,3,"PCA + Louvain"
0.0013667407834493,3,"PCA + Louvain"
0.00140315915923147,3,"PCA + Louvain"
0.00144054794440706,3,"PCA + Louvain"
0.00147893299664736,3,"PCA + Louvain"
0.00151834086263101,3,"PCA + Louvain"
0.00155879879640334,3,"PCA + Louvain"
0.00160033477822496,3,"PCA + Louvain"
0.00164297753392264,3,"PCA + Louvain"
0.00168675655475573,3,"PCA + Louvain"
0.00173170211781203,3,"PCA + Louvain"
0.00177784530694707,3,"PCA + Louvain"
0.00182521803428134,3,"PCA + Louvain"
0.00187385306227041,3,"PCA + Louvain"
0.00192378402636304,3,"PCA + Louvain"
0.00197504545826312,3,"PCA + Louvain"
0.00202767280981136,3,"PCA + Louvain"
0.00208170247750346,3,"PCA + Louvain"
0.00213717182766149,3,"PCA + Louvain"
0.00219411922227601,3,"PCA + Louvain"
0.00225258404553685,4,"PCA + Louvain"
0.00231260673107072,4,"PCA + Louvain"
0.00237422878990471,4,"PCA + Louvain"
0.00243749283917482,4,"PCA + Louvain"
0.00250244263159954,4,"PCA + Louvain"
0.00256912308573871,4,"PCA + Louvain"
0.00263758031705873,4,"PCA + Louvain"
0.00270786166982548,4,"PCA + Louvain"
0.00278001574984713,4,"PCA + Louvain"
0.00285409245808934,4,"PCA + Louvain"
0.00293014302518623,4,"PCA + Louvain"
0.00300822004687094,4,"PCA + Louvain"
0.00308837752035025,4,"PCA + Louvain"
0.00317067088164842,4,"PCA + Louvain"
0.00325515704394618,5,"PCA + Louvain"
0.00334189443694125,5,"PCA + Louvain"
0.00343094304725763,5,"PCA + Louvain"
0.00352236445993176,5,"PCA + Louvain"
0.00361622190100396,5,"PCA + Louvain"
0.00371258028124496,5,"PCA + Louvain"
0.00381150624104741,5,"PCA + Louvain"
0.00391306819651365,5,"PCA + Louvain"
0.00401733638677154,5,"PCA + Louvain"
0.00412438292255107,5,"PCA + Louvain"
0.00423428183605534,5,"PCA + Louvain"
0.00434710913216041,6,"PCA + Louvain"
0.00446294284097943,6,"PCA + Louvain"
0.00458186307182742,6,"PCA + Louvain"
