"resolution","actual_k","method"
0.000228598305611237,1,"scDHA + Louvain"
0.00023468956965906,1,"scDHA + Louvain"
0.000240943142423919,1,"scDHA + Louvain"
0.000247363348807742,1,"scDHA + Louvain"
0.00025395462895443,1,"scDHA + Louvain"
0.000260721541320609,1,"scDHA + Louvain"
0.000267668765828214,1,"scDHA + Louvain"
0.000274801107101064,1,"scDHA + Louvain"
0.000282123497787693,1,"scDHA + Louvain"
0.00028964100197271,1,"scDHA + Louvain"
0.000297358818679069,1,"scDHA + Louvain"
0.000305282285463654,1,"scDHA + Louvain"
0.000313416882108673,1,"scDHA + Louvain"
0.000321768234411416,1,"scDHA + Louvain"
0.000330342118074993,1,"scDHA + Louvain"
0.000339144462702753,1,"scDHA + Louvain"
0.000348181355899122,1,"scDHA + Louvain"
0.00035745904747973,1,"scDHA + Louvain"
0.000366983953793713,1,"scDHA + Louvain"
0.000376762662161191,1,"scDHA + Louvain"
0.000386801935428979,1,"scDHA + Louvain"
0.000397108716647708,1,"scDHA + Louvain"
0.000407690133873551,1,"scDHA + Louvain"
0.000418553505097918,1,"scDHA + Louvain"
0.000429706343308492,1,"scDHA + Louvain"
0.000441156361685128,1,"scDHA + Louvain"
0.000452911478934208,1,"scDHA + Louvain"
0.000464979824765127,1,"scDHA + Louvain"
0.00047736974551271,1,"scDHA + Louvain"
0.000490089809909448,1,"scDHA + Louvain"
0.000503148815011537,1,"scDHA + Louvain"
0.000516555792282824,1,"scDHA + Louvain"
0.000530320013840871,1,"scDHA + Louvain"
0.000544450998869446,1,"scDHA + Louvain"
0.000558958520201887,1,"scDHA + Louvain"
0.000573852611079886,1,"scDHA + Louvain"
0.000589143572092366,1,"scDHA + Louvain"
0.000604841978299258,1,"scDHA + Louvain"
0.000620958686545093,2,"scDHA + Louvain"
0.000637504842967478,2,"scDHA + Louvain"
0.00065449189070564,2,"scDHA + Louvain"
0.000671931577814376,2,"scDHA + Louvain"
0.000689835965388877,2,"scDHA + Louvain"
0.000708217435906051,2,"scDHA + Louvain"
0.000727088701788102,2,"scDHA + Louvain"
0.000746462814194308,2,"scDHA + Louvain"
0.000766353172047054,2,"scDHA + Louvain"
0.000786773531298378,2,"scDHA + Louvain"
0.000807738014443442,2,"scDHA + Louvain"
0.000829261120287484,2,"scDHA + Louvain"
0.000851357733973043,2,"scDHA + Louvain"
0.00087404313727435,2,"scDHA + Louvain"
0.000897333019166039,2,"scDHA + Louvain"
0.000921243486673468,3,"scDHA + Louvain"
0.00094579107601216,3,"scDHA + Louvain"
0.000970992764024067,3,"scDHA + Louvain"
0.000996865979918567,3,"scDHA + Louvain"
0.00102342861732631,3,"scDHA + Louvain"
0.00105069904667427,3,"scDHA + Louvain"
0.00107869612789049,3,"scDHA + Louvain"
0.00110743922344746,3,"scDHA + Louvain"
0.00113694821175294,3,"scDHA + Louvain"
0.00116724350089767,3,"scDHA + Louvain"
0.00119834604276937,3,"scDHA + Louvain"
0.00123027734754285,3,"scDHA + Louvain"
0.00126305949855618,3,"scDHA + Louvain"
0.00129671516758332,3,"scDHA + Louvain"
0.00133126763051365,3,"scDHA + Louvain"
0.0013667407834493,3,"scDHA + Louvain"
0.00140315915923147,3,"scDHA + Louvain"
0.00144054794440706,3,"scDHA + Louvain"
0.00147893299664736,3,"scDHA + Louvain"
0.00151834086263101,3,"scDHA + Louvain"
0.00155879879640334,3,"scDHA + Louvain"
0.00160033477822496,3,"scDHA + Louvain"
0.00164297753392264,3,"scDHA + Louvain"
0.00168675655475573,3,"scDHA + Louvain"
0.00173170211781203,3,"scDHA + Louvain"
0.00177784530694707,3,"scDHA + Louvain"
0.00182521803428134,3,"scDHA + Louvain"
0.00187385306227041,3,"scDHA + Louvain"
0.00192378402636304,3,"scDHA + Louvain"
0.00197504545826312,3,"scDHA + Louvain"
0.00202767280981136,3,"scDHA + Louvain"
0.00208170247750346,3,"scDHA + Louvain"
0.00213717182766149,3,"scDHA + Louvain"
0.00219411922227601,3,"scDHA + Louvain"
0.00225258404553685,3,"scDHA + Louvain"
0.00231260673107072,3,"scDHA + Louvain"
0.00237422878990471,3,"scDHA + Louvain"
0.00243749283917482,3,"scDHA + Louvain"
0.00250244263159954,3,"scDHA + Louvain"
0.00256912308573871,3,"scDHA + Louvain"
0.00263758031705873,3,"scDHA + Louvain"
0.00270786166982548,3,"scDHA + Louvain"
0.00278001574984713,4,"scDHA + Louvain"
0.00285409245808934,4,"scDHA + Louvain"
0.00293014302518623,4,"scDHA + Louvain"
0.00300822004687094,4,"scDHA + Louvain"
0.00308837752035025,4,"scDHA + Louvain"
0.00317067088164842,4,"scDHA + Louvain"
0.00325515704394618,4,"scDHA + Louvain"
0.00334189443694125,5,"scDHA + Louvain"
0.00343094304725763,5,"scDHA + Louvain"
0.00352236445993176,5,"scDHA + Louvain"
0.00361622190100396,5,"scDHA + Louvain"
0.00371258028124496,5,"scDHA + Louvain"
0.00381150624104741,5,"scDHA + Louvain"
0.00391306819651365,5,"scDHA + Louvain"
0.00401733638677154,5,"scDHA + Louvain"
0.00412438292255107,5,"scDHA + Louvain"
0.00423428183605534,5,"scDHA + Louvain"
0.00434710913216041,5,"scDHA + Louvain"
0.00446294284097943,5,"scDHA + Louvain"
0.00458186307182742,5,"scDHA + Louvain"
0.00470395206862399,5,"scDHA + Louvain"
0.00482929426677231,5,"scDHA + Louvain"
0.0049579763515537,5,"scDHA + Louvain"
0.00509008731807826,5,"scDHA + Louvain"
0.00522571853283285,5,"scDHA + Louvain"
0.00536496379686915,5,"scDHA + Louvain"
0.00550791941067548,5,"scDHA + Louvain"
0.00565468424077712,5,"scDHA + Louvain"
0.0058053597881113,5,"scDHA + Louvain"
0.00596005025822414,5,"scDHA + Louvain"
0.00611886263333807,5,"scDHA + Louvain"
0.00628190674633954,5,"scDHA + Louvain"
0.00644929535673821,5,"scDHA + Louvain"
0.00662114422865024,5,"scDHA + Louvain"
0.00679757221085943,5,"scDHA + Louvain"
0.00697870131901173,5,"scDHA + Louvain"
0.00716465681999994,5,"scDHA + Louvain"
0.00735556731859688,5,"scDHA + Louvain"
0.00755156484639706,5,"scDHA + Louvain"
0.00775278495312827,5,"scDHA + Louvain"
0.00795936680039623,5,"scDHA + Louvain"
0.00817145325792729,5,"scDHA + Louvain"
0.00838919100237554,5,"scDHA + Louvain"
0.00861273061876271,6,"scDHA + Louvain"
0.00884222670462117,6,"scDHA + Louvain"
0.00907783797691187,6,"scDHA + Louvain"
0.00931972738179121,6,"scDHA + Louvain"
0.00956806220730284,6,"scDHA + Louvain"
0.00982301419907217,6,"scDHA + Louvain"
0.0100847596790838,6,"scDHA + Louvain"
0.0103534796676239,6,"scDHA + Louvain"
0.0106293600084718,6,"scDHA + Louvain"
0.0109125914974273,6,"scDHA + Louvain"
0.0112033700142633,6,"scDHA + Louvain"
0.0115018966581939,6,"scDHA + Louvain"
0.0118083778869524,6,"scDHA + Louvain"
0.0121230256595751,6,"scDHA + Louvain"
0.0124460575829901,6,"scDHA + Louvain"
0.0127776970625116,6,"scDHA + Louvain"
0.0131181734563446,6,"scDHA + Louvain"
0.0134677222342066,6,"scDHA + Louvain"
0.0138265851401759,6,"scDHA + Louvain"
0.0141950103598788,6,"scDHA + Louvain"
0.0145732526921323,6,"scDHA + Louvain"
0.0149615737251604,6,"scDHA + Louvain"
0.0153602420175051,6,"scDHA + Louvain"
0.0157695332837589,6,"scDHA + Louvain"
0.0161897305852458,6,"scDHA + Louvain"
0.0166211245257834,6,"scDHA + Louvain"
0.0170640134526614,6,"scDHA + Louvain"
0.0175187036629753,6,"scDHA + Louvain"
0.0179855096154579,6,"scDHA + Louvain"
0.0184647541479556,6,"scDHA + Louvain"
0.0189567687006995,6,"scDHA + Louvain"
0.019461893545526,6,"scDHA + Louvain"
0.0199804780212046,6,"scDHA + Louvain"
0.0205128807750372,6,"scDHA + Louvain"
0.0210594700108943,6,"scDHA + Louvain"
0.0216206237438608,6,"scDHA + Louvain"
0.0221967300616673,6,"scDHA + Louvain"
0.022788187393087,6,"scDHA + Louvain"
0.0233954047834846,6,"scDHA + Louvain"
0.0240188021777079,6,"scDHA + Louvain"
0.0246588107105168,7,"scDHA + Louvain"
0.0253158730047514,7,"scDHA + Louvain"
0.0259904434774449,7,"scDHA + Louvain"
0.0266829886540936,7,"scDHA + Louvain"
0.0273939874913009,8,"scDHA + Louvain"
0.0281239317080182,8,"scDHA + Louvain"
0.0288733261256121,8,"scDHA + Louvain"
0.0296426890169938,8,"scDHA + Louvain"
0.0304325524650505,8,"scDHA + Louvain"
0.0312434627306284,7,"scDHA + Louvain"
0.0320759806303203,8,"scDHA + Louvain"
0.0329306819243203,8,"scDHA + Louvain"
0.0338081577146135,8,"scDHA + Louvain"
0.0347090148537753,8,"scDHA + Louvain"
0.0356338763646638,8,"scDHA + Louvain"
0.0365833818712961,8,"scDHA + Louvain"
0.0375581880412043,8,"scDHA + Louvain"
0.0385589690395807,8,"scDHA + Louvain"
0.0395864169955222,8,"scDHA + Louvain"
0.0406412424806989,8,"scDHA + Louvain"
0.0417241750007787,8,"scDHA + Louvain"
0.0428359634999444,8,"scDHA + Louvain"
0.0439773768788555,8,"scDHA + Louvain"
0.0451492045264117,8,"scDHA + Louvain"
0.0463522568656852,8,"scDHA + Louvain"
0.0475873659144004,8,"scDHA + Louvain"
0.0488553858603486,8,"scDHA + Louvain"
0.0501571936521341,8,"scDHA + Louvain"
0.0514936896056629,8,"scDHA + Louvain"
0.0528657980267908,8,"scDHA + Louvain"
0.0542744678505633,8,"scDHA + Louvain"
0.0557206732974886,8,"scDHA + Louvain"
0.0572054145472979,8,"scDHA + Louvain"
0.0587297184306581,8,"scDHA + Louvain"
0.0602946391393175,8,"scDHA + Louvain"
0.0619012589551721,9,"scDHA + Louvain"
0.0635506889987607,9,"scDHA + Louvain"
0.0652440699977034,8,"scDHA + Louvain"
0.0669825730756157,10,"scDHA + Louvain"
0.0687674005620453,9,"scDHA + Louvain"
0.07059978682399,10,"scDHA + Louvain"
0.0724809991195715,9,"scDHA + Louvain"
0.0744123384744579,10,"scDHA + Louvain"
0.0763951405816388,10,"scDHA + Louvain"
0.0784307767251749,10,"scDHA + Louvain"
0.0805206547285639,10,"scDHA + Louvain"
0.0826662199283752,10,"scDHA + Louvain"
0.0848689561738288,10,"scDHA + Louvain"
0.0871303868530093,10,"scDHA + Louvain"
0.0894520759464239,10,"scDHA + Louvain"
0.0918356291086343,10,"scDHA + Louvain"
0.0942826947787098,10,"scDHA + Louvain"
0.0967949653202689,10,"scDHA + Louvain"
0.0993741781919005,10,"scDHA + Louvain"
0.10202211714877,10,"scDHA + Louvain"
0.104740613476244,10,"scDHA + Louvain"
0.107531547256392,11,"scDHA + Louvain"
0.110396848668221,11,"scDHA + Louvain"
0.113338499322576,11,"scDHA + Louvain"
0.116358533632594,11,"scDHA + Louvain"
0.119459040220683,11,"scDHA + Louvain"
0.122642163362991,11,"scDHA + Louvain"
0.125910104472366,11,"scDHA + Louvain"
0.129265123620821,11,"scDHA + Louvain"
0.132709541102585,12,"scDHA + Louvain"
0.136245739038785,13,"scDHA + Louvain"
0.139876163024899,13,"scDHA + Louvain"
0.143603323822102,14,"scDHA + Louvain"
0.147429799093677,12,"scDHA + Louvain"
0.151358235187706,15,"scDHA + Louvain"
0.15539134896725,14,"scDHA + Louvain"
0.159531929689299,15,"scDHA + Louvain"
0.163782840933798,15,"scDHA + Louvain"
0.168147022584064,14,"scDHA + Louvain"
0.172627492859975,15,"scDHA + Louvain"
0.177227350405342,16,"scDHA + Louvain"
0.181949776430891,17,"scDHA + Louvain"
0.18679803691436,16,"scDHA + Louvain"
0.191775484859208,17,"scDHA + Louvain"
0.196885562613517,16,"scDHA + Louvain"
0.202131804250683,17,"scDHA + Louvain"
0.207517838013539,16,"scDHA + Louvain"
0.213047388823612,16,"scDHA + Louvain"
0.218724280857234,19,"scDHA + Louvain"
0.224552440190302,17,"scDHA + Louvain"
0.230535897513508,19,"scDHA + Louvain"
0.236678790919923,19,"scDHA + Louvain"
0.242985368766849,20,"scDHA + Louvain"
0.249459992613947,20,"scDHA + Louvain"
0.256107140239633,21,"scDHA + Louvain"
0.262931408737867,20,"scDHA + Louvain"
0.269937517697451,20,"scDHA + Louvain"
0.277130312466041,21,"scDHA + Louvain"
0.284514767501142,21,"scDHA + Louvain"
0.292095989810383,20,"scDHA + Louvain"
0.299879222483468,21,"scDHA + Louvain"
0.307869848318242,21,"scDHA + Louvain"
0.316073393543372,21,"scDHA + Louvain"
0.324495531640224,23,"scDHA + Louvain"
0.333142087266584,22,"scDHA + Louvain"
0.342019040284928,22,"scDHA + Louvain"
0.35113252989802,23,"scDHA + Louvain"
0.36048885889473,23,"scDHA + Louvain"
0.370094498008961,23,"scDHA + Louvain"
0.379956090394746,23,"scDHA + Louvain"
0.390080456220576,22,"scDHA + Louvain"
0.400474597386153,23,"scDHA + Louvain"
0.411145702364828,23,"scDHA + Louvain"
0.42210115117507,24,"scDHA + Louvain"
0.433348520484403,24,"scDHA + Louvain"
0.44489558884935,25,"scDHA + Louvain"
0.456750342094994,24,"scDHA + Louvain"
0.468920978837882,25,"scDHA + Louvain"
0.481415916156109,26,"scDHA + Louvain"
0.494243795410466,26,"scDHA + Louvain"
0.507413488220715,27,"scDHA + Louvain"
0.520934102601103,26,"scDHA + Louvain"
0.53481498925936,27,"scDHA + Louvain"
0.549065748063551,26,"scDHA + Louvain"
0.563696234681237,26,"scDHA + Louvain"
0.578716567395541,27,"scDHA + Louvain"
0.594137134102851,27,"scDHA + Louvain"
0.609968599496966,27,"scDHA + Louvain"
0.626221912444681,29,"scDHA + Louvain"
0.64290831355791,28,"scDHA + Louvain"
0.660039342967559,29,"scDHA + Louvain"
0.67762684830456,30,"scDHA + Louvain"
0.695682992893563,29,"scDHA + Louvain"
0.714220264164948,29,"scDHA + Louvain"
0.733251482291006,30,"scDHA + Louvain"
0.752789809052221,31,"scDHA + Louvain"
0.772848756939812,31,"scDHA + Louvain"
0.79344219850083,31,"scDHA + Louvain"
0.814584375932246,30,"scDHA + Louvain"
0.836289910930711,31,"scDHA + Louvain"
0.858573814804753,33,"scDHA + Louvain"
0.88145149885643,33,"scDHA + Louvain"
0.904938785039623,33,"scDHA + Louvain"
0.92905191690232,31,"scDHA + Louvain"
0.953807570820474,33,"scDHA + Louvain"
0.979222867531207,32,"scDHA + Louvain"
1.00531538397332,32,"scDHA + Louvain"
1.03210316544329,34,"scDHA + Louvain"
1.05960473807525,35,"scDHA + Louvain"
1.08783912165339,36,"scDHA + Louvain"
1.11682584276589,35,"scDHA + Louvain"
1.14658494830926,36,"scDHA + Louvain"
1.17713701935255,36,"scDHA + Louvain"
1.20850318537102,37,"scDHA + Louvain"
1.24070513885903,36,"scDHA + Louvain"
1.27376515033232,37,"scDHA + Louvain"
1.30770608373007,39,"scDHA + Louvain"
1.34255141222735,40,"scDHA + Louvain"
1.37832523446889,40,"scDHA + Louvain"
1.41505229123547,39,"scDHA + Louvain"
1.45275798255434,40,"scDHA + Louvain"
1.49146838526559,41,"scDHA + Louvain"
1.53121027105666,40,"scDHA + Louvain"
1.57201112497728,41,"scDHA + Louvain"
1.61389916444786,41,"scDHA + Louvain"
1.65690335877436,42,"scDHA + Louvain"
1.70105344918309,44,"scDHA + Louvain"
1.74637996938949,41,"scDHA + Louvain"
1.79291426671482,43,"scDHA + Louvain"
1.84068852376571,44,"scDHA + Louvain"
1.88973578069124,43,"scDHA + Louvain"
1.94008995803316,46,"scDHA + Louvain"
1.99178588018495,44,"scDHA + Louvain"
2.04485929947602,48,"scDHA + Louvain"
2.09934692089758,48,"scDHA + Louvain"
2.15528642748744,48,"scDHA + Louvain"
2.21271650639119,49,"scDHA + Louvain"
2.27167687561775,50,"scDHA + Louvain"
2.33220831150799,50,"scDHA + Louvain"
2.3943526769351,49,"scDHA + Louvain"
2.45815295025658,51,"scDHA + Louvain"
2.52365325503755,51,"scDHA + Louvain"
2.59089889056612,54,"scDHA + Louvain"
2.6599363631819,53,"scDHA + Louvain"
2.73081341843927,55,"scDHA + Louvain"
2.80357907412764,55,"scDHA + Louvain"
2.87828365417167,56,"scDHA + Louvain"
2.95497882343469,55,"scDHA + Louvain"
3.03371762344958,58,"scDHA + Louvain"
3.11455450910171,56,"scDHA + Louvain"
3.19754538628932,57,"scDHA + Louvain"
3.28274765058742,56,"scDHA + Louvain"
3.37022022694197,59,"scDHA + Louvain"
3.46002361042168,58,"scDHA + Louvain"
3.55221990805576,62,"scDHA + Louvain"
3.64687288178646,59,"scDHA + Louvain"
3.74404799256609,63,"scDHA + Louvain"
3.84381244562914,65,"scDHA + Louvain"
3.94623523697062,66,"scDHA + Louvain"
4.051387201063,63,"scDHA + Louvain"
4.15934105984451,67,"scDHA + Louvain"
4.2701714730128,70,"scDHA + Louvain"
4.38395508965884,67,"scDHA + Louvain"
4.50077060127652,68,"scDHA + Louvain"
4.62069879618484,70,"scDHA + Louvain"
4.74382261540022,69,"scDHA + Louvain"
4.87022720999761,74,"scDHA + Louvain"
5,72,"scDHA + Louvain"
